진영,285800,플라스틱제품 제조업,"가구용 ASA플라스틱 시트, 엣지밴드",2023.6.1,12월,심영수,http://www.jyp21.co.kr,인천광역시
기가비스,420770,특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,2023.5.24,12월,강해철,http://www.gigavis.com,경기도
팸텍,271830,특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",2023.5.23,12월,김재웅,http://www.pamtek.com/,경기도
모니터랩,434480,소프트웨어 개발 및 공급업,"웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS",2023.5.19,12월,이광후,,서울특별시
씨유박스,340810,소프트웨어 개발 및 공급업,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼",2023.5.19,12월,남운성,http://www.cubox.ai,서울특별시
키움제8호스팩,446840,금융 지원 서비스업,기업 인수합병,2023.5.17,12월,송현길,,서울특별시
트루엔,417790,영상 및 음향기기 제조업,"IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스",2023.5.17,12월,안재천,http://truen.co.kr,서울특별시
에스바이오메딕스,304360,의약품 제조업,줄기세포 치료제 연구 및 개발,2023.5.4,12월,강세일,http://www.sbiomedics.com/,서울특별시
슈어소프트테크,298830,소프트웨어 개발 및 공급업,소프트웨어 자동화 검증 플랫폼,2023.4.28,12월,배현섭,http://www.suresofttech.com/,경기도
토마토시스템,393210,소프트웨어 개발 및 공급업,"UI/UX솔루션, 대학정보화사업 SW",2023.4.27,12월,이상돈,http://tomatosystem.co.kr/,서울특별시
마이크로투나노,424980,반도체 제조업,메모리 테스트용 프로브 카드,2023.4.26,12월,황규호,http://micro2nano.com,경기도
셀바이오휴먼텍,318160,기타 섬유제품 제조업,마스크팩 섬유소재(시트),2023.4.20,12월,이권선,http://cellbiohumantech.co.kr/,경기도
미래에셋비전스팩3호,448830,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2023.4.7,12월,권유현,,서울특별시
IBKS제22호스팩,448760,금융 지원 서비스업,기업인수 및 합병,2023.4.6,12월,김정현,,서울특별시
하나27호스팩,448370,금융 지원 서비스업,기업인수합병,2023.4.6,12월,김철우,,서울특별시
지아이이노베이션,358570,자연과학 및 공학 연구개발업,면역항암제 및 알레르기 치료제,2023.3.30,12월,"이병건, 홍준호",http://www.gi-innovation.com/kr/,서울특별시
LB인베스트먼트,309960,기타 금융업,중소기업 창업투자,2023.3.29,12월,박기호,http://lbinvestment.com/,서울특별시
유안타제12호스팩,446150,금융 지원 서비스업,기업인수합병,2023.3.17,12월,오희열,,서울특별시
엑스게이트,356680,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,2023.3.16,12월,주갑수,http://www.axgate.com,서울특별시
미래에셋드림스팩1호,442900,금융 지원 서비스업,기업인수합병,2023.3.15,12월,박장우,,서울특별시
금양그린파워,282720,전기 및 통신 공사업,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역",2023.3.13,12월,"이윤철, 이기보",http://www.kygp.co.kr,울산광역시
라온텍,418420,전자부품 제조업,"마이크로디스플레이, 컨트롤러 IC",2023.3.9,12월,김보은,RAON.io,경기도
자람테크놀로지,389020,반도체 제조업,"XGSPON, 기가와이어, 광트랜시버 등",2023.3.7,12월,백준현,http://zaram.com,경기도
하나26호스팩,446750,금융 지원 서비스업,기업인수합병,2023.3.7,12월,김상규,,서울특별시
나노팀,417010,일반 목적용 기계 제조업,전기차용 방열제품,2023.3.3,12월,최윤성,http://www.nanotim.co.kr,대전광역시
바이오인프라,199730,자연과학 및 공학 연구개발업,"생동성시험, 검체 분석",2023.3.2,12월,이상득,http://bioinfrakorea.co.kr,경기도
삼성스팩8호,448740,금융 지원 서비스업,기업인수합병,2023.3.2,12월,안신영,,서울특별시
유안타제13호스팩,449020,금융 지원 서비스업,금융 지원 서비스,2023.2.28,12월,이현범,,서울특별시
미래에셋비전스팩2호,446190,금융 지원 서비스업,기업인수합병,2023.2.24,12월,이효상,,서울특별시
이노진,344860,기타 화학제품 제조업,"탈모케어제품(볼빅), 피부케어제품(Dr.메디션)",2023.2.20,12월,이광훈,http://www.innogene.com/,서울특별시
화인써키트,127980,전자부품 제조업,인쇄회로기판(PCB),2023.2.17,12월,유수권,http://finecircuit.co.kr/,인천광역시
제이오,418550,"건축기술, 엔지니어링 및 관련 기술 서비스업","탄소나노튜브, 금속탱크 및 유사용기",2023.2.16,12월,강득주,http://www.jeio.co.kr/,인천광역시
샌즈랩,411080,소프트웨어 개발 및 공급업,사이버 위협 인텔리전스(CTI),2023.2.15,12월,김기홍,http://www.sandslab.io,경기도
